Run_ID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,Drive,Snap,Glare
EX-001-R005,0.000000,0.000000,0.017778,0.000000,0.000000,1.066667,0.000000,0.000000,1.000000,0.000000
EX-001-R005,0.016667,0.000148,0.048276,0.000148,0.008889,1.829917,0.008889,0.008333,0.999991,0.008333
EX-001-R005,0.033333,0.000550,0.087561,0.000550,0.024137,2.357074,0.024137,0.016666,0.999965,0.016665
EX-001-R005,0.050000,0.001280,0.132589,0.001280,0.043777,2.701706,0.043775,0.024997,0.999922,0.024995
EX-001-R005,0.066667,0.002385,0.181028,0.002385,0.066287,2.906341,0.066280,0.033327,0.999861,0.033323
EX-001-R005,0.083333,0.003893,0.231106,0.003893,0.090498,3.004655,0.090484,0.041655,0.999783,0.041646
EX-001-R005,0.100000,0.005819,0.281493,0.005818,0.115524,3.023234,0.115497,0.049979,0.999688,0.049964
EX-001-R005,0.116667,0.008164,0.331210,0.008162,0.140698,2.982992,0.140653,0.058300,0.999575,0.058275
EX-001-R005,0.133333,0.010922,0.379548,0.010920,0.165529,2.900311,0.165458,0.066617,0.999444,0.066580
EX-001-R005,0.150000,0.014083,0.426014,0.014079,0.189663,2.787960,0.189557,0.074930,0.999297,0.074877
EX-001-R005,0.166667,0.017631,0.470278,0.017624,0.212850,2.655830,0.212700,0.083237,0.999132,0.083165
EX-001-R005,0.183333,0.021546,0.512137,0.021536,0.234924,2.511525,0.234720,0.091538,0.998950,0.091442
EX-001-R005,0.200000,0.025809,0.551484,0.025794,0.255784,2.360839,0.255512,0.099833,0.998750,0.099709
EX-001-R005,0.216667,0.030399,0.588286,0.030378,0.275375,2.208135,0.275022,0.108122,0.998533,0.107963
EX-001-R005,0.233333,0.035294,0.622564,0.035265,0.293678,2.056646,0.293231,0.116402,0.998299,0.116204
EX-001-R005,0.250000,0.040472,0.654376,0.040434,0.310704,1.908723,0.310146,0.124675,0.998048,0.124431
EX-001-R005,0.266667,0.045913,0.683810,0.045864,0.326481,1.766026,0.325797,0.132939,0.997779,0.132643
EX-001-R005,0.283333,0.051597,0.710971,0.051535,0.341051,1.629681,0.340224,0.141193,0.997492,0.140839
EX-001-R005,0.300000,0.057505,0.735978,0.057426,0.354468,1.500398,0.353480,0.149438,0.997189,0.149018
EX-001-R005,0.316667,0.063618,0.758954,0.063520,0.366788,1.378575,0.365622,0.157673,0.996868,0.157179
EX-001-R005,0.333333,0.069920,0.780027,0.069798,0.378074,1.264369,0.376710,0.165896,0.996530,0.165320
EX-001-R005,0.350000,0.076393,0.799323,0.076245,0.388389,1.157762,0.386807,0.174108,0.996174,0.173442
EX-001-R005,0.366667,0.083023,0.816966,0.082845,0.397795,1.058603,0.395976,0.182308,0.995802,0.181543
EX-001-R005,0.383333,0.089795,0.833077,0.089583,0.406354,0.966650,0.404278,0.190495,0.995411,0.189621
EX-001-R005,0.400000,0.096697,0.847770,0.096445,0.414125,0.881599,0.411771,0.198669,0.995004,0.197677
EX-001-R005,0.416667,0.103717,0.861155,0.103421,0.421166,0.803103,0.418512,0.206830,0.994580,0.205708
EX-001-R005,0.433333,0.110842,0.873335,0.110497,0.427531,0.730790,0.424557,0.214975,0.994138,0.213715
EX-001-R005,0.450000,0.118063,0.884406,0.117662,0.433271,0.664279,0.429954,0.223106,0.993679,0.221696
EX-001-R005,0.466667,0.125371,0.894460,0.124908,0.438434,0.603187,0.434753,0.231222,0.993202,0.229650
EX-001-R005,0.483333,0.132755,0.903578,0.132225,0.443066,0.547136,0.438998,0.239321,0.992709,0.237576
EX-001-R005,0.500000,0.140209,0.911841,0.139604,0.447207,0.495760,0.442730,0.247404,0.992198,0.245474
EX-001-R005,0.516667,0.147724,0.919320,0.147037,0.450897,0.448708,0.445989,0.255470,0.991670,0.253341
EX-001-R005,0.533333,0.155293,0.926080,0.154517,0.454171,0.405644,0.448809,0.263517,0.991124,0.261178
EX-001-R005,0.550000,0.162911,0.932185,0.162038,0.457063,0.366252,0.451225,0.271547,0.990562,0.268984
EX-001-R005,0.566667,0.170571,0.937688,0.169592,0.459603,0.330236,0.453266,0.279558,0.989982,0.276757
