Run_ID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,Drive,Snap,Glare
EX-001-R009,0.000000,0.000000,0.040000,0.000000,0.000000,2.400000,0.000000,0.000000,1.000000,0.000000
EX-001-R009,0.016667,0.000333,0.102400,0.000333,0.020000,3.743979,0.020000,0.008333,0.999991,0.008333
EX-001-R009,0.033333,0.001187,0.175742,0.001187,0.051198,4.400545,0.051197,0.016666,0.999965,0.016665
EX-001-R009,0.050000,0.002651,0.252715,0.002651,0.087865,4.618359,0.087859,0.024997,0.999922,0.024995
EX-001-R009,0.066667,0.004757,0.328784,0.004756,0.126341,4.564166,0.126327,0.033327,0.999861,0.033323
EX-001-R009,0.083333,0.007496,0.401266,0.007495,0.164360,4.348897,0.164330,0.041655,0.999783,0.041646
EX-001-R009,0.100000,0.010839,0.468692,0.010837,0.200575,4.045550,0.200522,0.049979,0.999688,0.049964
EX-001-R009,0.116667,0.014743,0.530382,0.014740,0.234252,3.701450,0.234165,0.058300,0.999575,0.058275
EX-001-R009,0.133333,0.019161,0.586159,0.019155,0.265049,3.346619,0.264916,0.066617,0.999444,0.066580
EX-001-R009,0.150000,0.024042,0.636151,0.024033,0.292875,2.999501,0.292682,0.074930,0.999297,0.074877
EX-001-R009,0.166667,0.029338,0.680665,0.029325,0.317793,2.670855,0.317524,0.083237,0.999132,0.083165
EX-001-R009,0.183333,0.035004,0.720105,0.034985,0.339956,2.366396,0.339595,0.091538,0.998950,0.091442
EX-001-R009,0.200000,0.040997,0.754915,0.040970,0.359563,2.088585,0.359093,0.099833,0.998750,0.099709
EX-001-R009,0.216667,0.047278,0.785546,0.047241,0.376836,1.837835,0.376239,0.108122,0.998533,0.107963
EX-001-R009,0.233333,0.053811,0.812434,0.053762,0.392001,1.613309,0.391255,0.116402,0.998299,0.116204
EX-001-R009,0.250000,0.060566,0.835992,0.060501,0.405273,1.413458,0.404360,0.124675,0.998048,0.124431
EX-001-R009,0.266667,0.067513,0.856598,0.067430,0.416859,1.236363,0.415757,0.132939,0.997779,0.132643
EX-001-R009,0.283333,0.074629,0.874597,0.074524,0.426947,1.079965,0.425636,0.141193,0.997492,0.140839
EX-001-R009,0.300000,0.081891,0.890301,0.081760,0.435710,0.942199,0.434166,0.149438,0.997189,0.149018
EX-001-R009,0.316667,0.089279,0.903985,0.089119,0.443302,0.821081,0.441504,0.157673,0.996868,0.157179
