Run_ID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,Drive,Snap,Glare
EX-001-R007,0.000000,0.000000,0.001111,0.000000,0.000000,0.066667,0.000000,0.000000,1.000000,0.000000
EX-001-R007,0.016667,0.000009,0.003258,0.000009,0.000556,0.128814,0.000556,0.008333,0.999991,0.008333
EX-001-R007,0.033333,0.000036,0.006369,0.000036,0.001629,0.186674,0.001629,0.016666,0.999965,0.016665
EX-001-R007,0.050000,0.000089,0.010377,0.000089,0.003184,0.240466,0.003184,0.024997,0.999922,0.024995
EX-001-R007,0.066667,0.000176,0.015217,0.000176,0.005188,0.290400,0.005188,0.033327,0.999861,0.033323
EX-001-R007,0.083333,0.000303,0.020828,0.000303,0.007607,0.336678,0.007606,0.041655,0.999783,0.041646
EX-001-R007,0.100000,0.000476,0.027153,0.000476,0.010412,0.379490,0.010410,0.049979,0.999688,0.049964
EX-001-R007,0.116667,0.000702,0.034137,0.000702,0.013573,0.419019,0.013569,0.058300,0.999575,0.058275
EX-001-R007,0.133333,0.000987,0.041727,0.000987,0.017062,0.455438,0.017056,0.066617,0.999444,0.066580
EX-001-R007,0.150000,0.001334,0.049876,0.001334,0.020854,0.488914,0.020845,0.074930,0.999297,0.074877
EX-001-R007,0.166667,0.001750,0.058536,0.001749,0.024924,0.519603,0.024911,0.083237,0.999132,0.083165
EX-001-R007,0.183333,0.002237,0.067664,0.002236,0.029248,0.547657,0.029230,0.091538,0.998950,0.091442
EX-001-R007,0.200000,0.002801,0.077217,0.002799,0.033805,0.573219,0.033779,0.099833,0.998750,0.099709
EX-001-R007,0.216667,0.003444,0.087158,0.003442,0.038573,0.596426,0.038538,0.108122,0.998533,0.107963
EX-001-R007,0.233333,0.004169,0.097448,0.004166,0.043532,0.617407,0.043487,0.116402,0.998299,0.116204
EX-001-R007,0.250000,0.004980,0.108053,0.004977,0.048663,0.636286,0.048605,0.124675,0.998048,0.124431
EX-001-R007,0.266667,0.005879,0.118939,0.005874,0.053950,0.653182,0.053876,0.132939,0.997779,0.132643
EX-001-R007,0.283333,0.006869,0.130076,0.006863,0.059374,0.668207,0.059282,0.141193,0.997492,0.140839
EX-001-R007,0.300000,0.007951,0.141434,0.007943,0.064920,0.681467,0.064807,0.149438,0.997189,0.149018
EX-001-R007,0.316667,0.009127,0.152985,0.009117,0.070574,0.693065,0.070435,0.157673,0.996868,0.157179
EX-001-R007,0.333333,0.010399,0.164703,0.010386,0.076320,0.703097,0.076153,0.165896,0.996530,0.165320
EX-001-R007,0.350000,0.011768,0.176564,0.011752,0.082146,0.711655,0.081947,0.174108,0.996174,0.173442
EX-001-R007,0.366667,0.013236,0.188544,0.013215,0.088039,0.718828,0.087803,0.182308,0.995802,0.181543
EX-001-R007,0.383333,0.014802,0.200623,0.014777,0.093987,0.724697,0.093710,0.190495,0.995411,0.189621
EX-001-R007,0.400000,0.016468,0.212778,0.016438,0.099979,0.729342,0.099656,0.198669,0.995004,0.197677
EX-001-R007,0.416667,0.018235,0.224992,0.018198,0.106004,0.732840,0.105630,0.206830,0.994580,0.205708
EX-001-R007,0.433333,0.020103,0.237247,0.020059,0.112054,0.735260,0.111623,0.214975,0.994138,0.213715
EX-001-R007,0.450000,0.022071,0.249524,0.022019,0.118117,0.736672,0.117624,0.223106,0.993679,0.221696
EX-001-R007,0.466667,0.024141,0.261810,0.024079,0.124186,0.737139,0.123624,0.231222,0.993202,0.229650
EX-001-R007,0.483333,0.026312,0.274089,0.026240,0.130252,0.736723,0.129616,0.239321,0.992709,0.237576
EX-001-R007,0.500000,0.028584,0.286347,0.028499,0.136308,0.735482,0.135590,0.247404,0.992198,0.245474
EX-001-R007,0.516667,0.030956,0.298571,0.030859,0.142347,0.733471,0.141540,0.255470,0.991670,0.253341
EX-001-R007,0.533333,0.033429,0.310750,0.033316,0.148361,0.730743,0.147459,0.263517,0.991124,0.261178
EX-001-R007,0.550000,0.036001,0.322873,0.035872,0.154345,0.727348,0.153340,0.271547,0.990562,0.268984
EX-001-R007,0.566667,0.038673,0.334928,0.038525,0.160292,0.723332,0.159176,0.279558,0.989982,0.276757
EX-001-R007,0.583333,0.041443,0.346907,0.041274,0.166198,0.718740,0.164962,0.287549,0.989385,0.284497
EX-001-R007,0.600000,0.044310,0.358801,0.044119,0.172056,0.713615,0.170693,0.295520,0.988771,0.292202
EX-001-R007,0.616667,0.047275,0.370601,0.047058,0.177863,0.707997,0.176364,0.303471,0.988140,0.299872
EX-001-R007,0.633333,0.050335,0.382300,0.050091,0.183614,0.701923,0.181970,0.311401,0.987491,0.307506
