Run_ID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,Drive,Snap,Glare
EX-001-R003,0.000000,0.000000,0.017778,0.000000,0.000000,1.066667,0.000000,0.000000,1.000000,0.000000
EX-001-R003,0.016667,0.000148,0.048750,0.000148,0.008889,1.858361,0.008889,0.008333,0.999991,0.008333
EX-001-R003,0.033333,0.000554,0.089200,0.000554,0.024374,2.426984,0.024374,0.016666,0.999965,0.016665
EX-001-R003,0.050000,0.001298,0.136133,0.001298,0.044597,2.815944,0.044595,0.024997,0.999922,0.024995
EX-001-R003,0.066667,0.002432,0.187156,0.002432,0.068059,3.061428,0.068052,0.033327,0.999861,0.033323
EX-001-R003,0.083333,0.003991,0.240381,0.003991,0.093562,3.193487,0.093547,0.041655,0.999783,0.041646
EX-001-R003,0.100000,0.005994,0.294331,0.005993,0.120161,3.236977,0.120133,0.049979,0.999688,0.049964
EX-001-R003,0.116667,0.008446,0.347870,0.008444,0.147116,3.212363,0.147069,0.058300,0.999575,0.058275
EX-001-R003,0.133333,0.011344,0.400144,0.011341,0.173857,3.136408,0.173784,0.066617,0.999444,0.066580
EX-001-R003,0.150000,0.014676,0.450523,0.014672,0.199957,3.022767,0.199848,0.074930,0.999297,0.074877
EX-001-R003,0.166667,0.018428,0.498565,0.018421,0.225099,2.882486,0.224944,0.083237,0.999132,0.083165
EX-001-R003,0.183333,0.022579,0.543972,0.022568,0.249059,2.724434,0.248847,0.091538,0.998950,0.091442
EX-001-R003,0.200000,0.027107,0.586566,0.027091,0.271690,2.555667,0.271407,0.099833,0.998750,0.099709
EX-001-R003,0.216667,0.031989,0.626262,0.031967,0.292900,2.381738,0.292532,0.108122,0.998533,0.107963
EX-001-R003,0.233333,0.037199,0.663045,0.037170,0.312645,2.206961,0.312178,0.116402,0.998299,0.116204
EX-001-R003,0.250000,0.042715,0.696955,0.042676,0.330917,2.034627,0.330334,0.124675,0.998048,0.124431
EX-001-R003,0.266667,0.048510,0.728075,0.048459,0.347736,1.867195,0.347019,0.132939,0.997779,0.132643
EX-001-R003,0.283333,0.054563,0.756516,0.054497,0.363141,1.706447,0.362273,0.141193,0.997492,0.140839
EX-001-R003,0.300000,0.060849,0.782409,0.060766,0.377188,1.553618,0.376150,0.149438,0.997189,0.149018
EX-001-R003,0.316667,0.067348,0.805901,0.067245,0.389941,1.409505,0.388714,0.157673,0.996868,0.157179
EX-001-R003,0.333333,0.074039,0.827144,0.073912,0.401473,1.274561,0.400037,0.165896,0.996530,0.165320
EX-001-R003,0.350000,0.080904,0.846293,0.080749,0.411860,1.148966,0.410193,0.174108,0.996174,0.173442
EX-001-R003,0.366667,0.087923,0.863505,0.087736,0.421178,1.032690,0.419260,0.182308,0.995802,0.181543
EX-001-R003,0.383333,0.095082,0.878930,0.094858,0.429505,0.925545,0.427315,0.190495,0.995411,0.189621
EX-001-R003,0.400000,0.102364,0.892717,0.102099,0.436918,0.827226,0.434433,0.198669,0.995004,0.197677
EX-001-R003,0.416667,0.109755,0.905007,0.109444,0.443488,0.737345,0.440686,0.206830,0.994580,0.205708
EX-001-R003,0.433333,0.117243,0.915931,0.116879,0.449286,0.655455,0.446144,0.214975,0.994138,0.213715
EX-001-R003,0.450000,0.124816,0.925615,0.124394,0.454378,0.581077,0.450874,0.223106,0.993679,0.221696
EX-001-R003,0.466667,0.132463,0.934177,0.131976,0.458826,0.513711,0.454938,0.231222,0.993202,0.229650
EX-001-R003,0.483333,0.140175,0.941725,0.139616,0.462690,0.452854,0.458393,0.239321,0.992709,0.237576
EX-001-R003,0.500000,0.147942,0.948358,0.147304,0.466022,0.398006,0.461293,0.247404,0.992198,0.245474
EX-001-R003,0.516667,0.155756,0.954170,0.155032,0.468873,0.348684,0.463689,0.255470,0.991670,0.253341
EX-001-R003,0.533333,0.163611,0.959243,0.162793,0.471288,0.304418,0.465626,0.263517,0.991124,0.261178
EX-001-R003,0.550000,0.171500,0.963656,0.170579,0.473311,0.264764,0.467146,0.271547,0.990562,0.268984
EX-001-R003,0.566667,0.179416,0.967478,0.178383,0.474978,0.229302,0.468288,0.279558,0.989982,0.276757
