Run_ID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,Drive,Snap,Glare
EX-001-R004,0.000000,0.000000,0.017778,0.000000,0.000000,1.066667,0.000000,0.000000,1.000000,0.000000
EX-001-R004,0.016667,0.000148,0.052069,0.000148,0.008889,2.057472,0.008889,0.008333,0.999991,0.008333
EX-001-R004,0.033333,0.000582,0.101383,0.000582,0.026034,2.958830,0.026033,0.016666,0.999965,0.016665
EX-001-R004,0.050000,0.001427,0.164041,0.001427,0.050688,3.759467,0.050686,0.024997,0.999922,0.024995
EX-001-R004,0.066667,0.002794,0.238216,0.002794,0.082012,4.450504,0.082004,0.033327,0.999861,0.033323
EX-001-R004,0.083333,0.004779,0.321974,0.004778,0.119090,5.025482,0.119073,0.041655,0.999783,0.041646
EX-001-R004,0.100000,0.007461,0.413313,0.007460,0.160952,5.480351,0.160920,0.049979,0.999688,0.049964
EX-001-R004,0.116667,0.010904,0.510203,0.010902,0.206596,5.813412,0.206541,0.058300,0.999575,0.058275
EX-001-R004,0.133333,0.015154,0.610623,0.015151,0.255005,6.025221,0.254915,0.066617,0.999444,0.066580
EX-001-R004,0.150000,0.020241,0.712598,0.020235,0.305165,6.118461,0.305027,0.074930,0.999297,0.074877
EX-001-R004,0.166667,0.026175,0.814227,0.026166,0.356086,6.097779,0.355884,0.083237,0.999132,0.083165
EX-001-R004,0.183333,0.032956,0.913721,0.032942,0.406815,5.969602,0.406532,0.091538,0.998950,0.091442
EX-001-R004,0.200000,0.040563,1.009419,0.040543,0.456455,5.741921,0.456068,0.099833,0.998750,0.099709
EX-001-R004,0.216667,0.048966,1.099821,0.048937,0.504173,5.424073,0.503659,0.108122,0.998533,0.107963
EX-001-R004,0.233333,0.058120,1.183596,0.058080,0.549216,5.026500,0.548549,0.116402,0.998299,0.116204
EX-001-R004,0.250000,0.067968,1.259604,0.067914,0.590916,4.560502,0.590068,0.124675,0.998048,0.124431
EX-001-R004,0.266667,0.078447,1.326904,0.078375,0.628703,4.037994,0.627642,0.132939,0.997779,0.132643
EX-001-R004,0.283333,0.089482,1.384758,0.089388,0.662102,3.471262,0.660797,0.141193,0.997492,0.140839
EX-001-R004,0.300000,0.100994,1.432637,0.100874,0.690743,2.872721,0.689159,0.149438,0.997189,0.149018
EX-001-R004,0.316667,0.112900,1.470215,0.112748,0.714361,2.254689,0.712462,0.157673,0.996868,0.157179
EX-001-R004,0.333333,0.125113,1.497368,0.124924,0.732791,1.629174,0.730541,0.165896,0.996530,0.165320
EX-001-R004,0.350000,0.137546,1.514163,0.137313,0.745970,1.007678,0.743331,0.174108,0.996174,0.173442
EX-001-R004,0.366667,0.150112,1.520846,0.149827,0.753931,0.401017,0.750865,0.182308,0.995802,0.181543
EX-001-R004,0.383333,0.162725,1.517832,0.162382,0.756797,-0.180835,0.753266,0.190495,0.995411,0.189621
EX-001-R004,0.400000,0.175304,1.505685,0.174894,0.754776,-0.728873,0.750740,0.198669,0.995004,0.197677
EX-001-R004,0.416667,0.187774,1.485098,0.187287,0.748148,-1.235179,0.743569,0.206830,0.994580,0.205708
EX-001-R004,0.433333,0.200061,1.456882,0.199489,0.737262,-1.692994,0.732102,0.214975,0.994138,0.213715
EX-001-R004,0.450000,0.212103,1.421935,0.211434,0.722523,-2.096784,0.716744,0.223106,0.993679,0.221696
