Run_ID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,Drive,Snap,Glare
EX-001-R001,0.000000,0.000000,0.000278,0.000000,0.000000,0.016667,0.000000,0.000000,1.000000,0.000000
EX-001-R001,0.016667,0.000002,0.000833,0.000002,0.000139,0.033333,0.000139,0.008333,0.999991,0.008333
EX-001-R001,0.033333,0.000009,0.001667,0.000009,0.000417,0.049999,0.000417,0.016666,0.999965,0.016665
EX-001-R001,0.050000,0.000023,0.002778,0.000023,0.000833,0.066665,0.000833,0.024997,0.999922,0.024995
EX-001-R001,0.066667,0.000046,0.004167,0.000046,0.001389,0.083329,0.001389,0.033327,0.999861,0.033323
EX-001-R001,0.083333,0.000081,0.005833,0.000081,0.002083,0.099992,0.002083,0.041655,0.999783,0.041646
EX-001-R001,0.100000,0.000130,0.007777,0.000130,0.002916,0.116654,0.002915,0.049979,0.999688,0.049964
EX-001-R001,0.116667,0.000194,0.009999,0.000194,0.003888,0.133313,0.003887,0.058300,0.999575,0.058275
EX-001-R001,0.133333,0.000278,0.012499,0.000278,0.004998,0.149970,0.004996,0.066617,0.999444,0.066580
EX-001-R001,0.150000,0.000382,0.015276,0.000382,0.006247,0.166625,0.006244,0.074930,0.999297,0.074877
EX-001-R001,0.166667,0.000509,0.018330,0.000509,0.007634,0.183278,0.007630,0.083237,0.999132,0.083165
EX-001-R001,0.183333,0.000662,0.021663,0.000661,0.009160,0.199927,0.009154,0.091538,0.998950,0.091442
EX-001-R001,0.200000,0.000842,0.025272,0.000842,0.010824,0.216573,0.010816,0.099833,0.998750,0.099709
EX-001-R001,0.216667,0.001053,0.029159,0.001052,0.012626,0.233215,0.012616,0.108122,0.998533,0.107963
EX-001-R001,0.233333,0.001295,0.033323,0.001295,0.014566,0.249853,0.014552,0.116402,0.998299,0.116204
EX-001-R001,0.250000,0.001573,0.037765,0.001572,0.016644,0.266487,0.016626,0.124675,0.998048,0.124431
EX-001-R001,0.266667,0.001887,0.042483,0.001886,0.018859,0.283117,0.018837,0.132939,0.997779,0.132643
EX-001-R001,0.283333,0.002241,0.047479,0.002239,0.021212,0.299742,0.021184,0.141193,0.997492,0.140839
EX-001-R001,0.300000,0.002636,0.052752,0.002633,0.023703,0.316362,0.023668,0.149438,0.997189,0.149018
EX-001-R001,0.316667,0.003074,0.058301,0.003071,0.026331,0.332976,0.026288,0.157673,0.996868,0.157179
EX-001-R001,0.333333,0.003559,0.064128,0.003555,0.029096,0.349585,0.029043,0.165896,0.996530,0.165320
EX-001-R001,0.350000,0.004093,0.070231,0.004088,0.031998,0.366188,0.031934,0.174108,0.996174,0.173442
EX-001-R001,0.366667,0.004677,0.076611,0.004670,0.035036,0.382785,0.034959,0.182308,0.995802,0.181543
EX-001-R001,0.383333,0.005313,0.083267,0.005305,0.038211,0.399375,0.038120,0.190495,0.995411,0.189621
EX-001-R001,0.400000,0.006005,0.090199,0.005996,0.041522,0.415958,0.041414,0.198669,0.995004,0.197677
EX-001-R001,0.416667,0.006755,0.097408,0.006743,0.044969,0.432534,0.044843,0.206830,0.994580,0.205708
EX-001-R001,0.433333,0.007564,0.104893,0.007550,0.048552,0.449103,0.048405,0.214975,0.994138,0.213715
EX-001-R001,0.450000,0.008435,0.112654,0.008418,0.052271,0.465665,0.052100,0.223106,0.993679,0.221696
EX-001-R001,0.466667,0.009371,0.120691,0.009350,0.056124,0.482218,0.055927,0.231222,0.993202,0.229650
EX-001-R001,0.483333,0.010373,0.129004,0.010348,0.060113,0.498763,0.059887,0.239321,0.992709,0.237576
EX-001-R001,0.500000,0.011443,0.137593,0.011415,0.064236,0.515300,0.063978,0.247404,0.992198,0.245474
EX-001-R001,0.516667,0.012585,0.146456,0.012551,0.068494,0.531828,0.068200,0.255470,0.991670,0.253341
EX-001-R001,0.533333,0.013800,0.155595,0.013761,0.072886,0.548346,0.072553,0.263517,0.991124,0.261178
EX-001-R001,0.550000,0.015090,0.165010,0.015045,0.077412,0.564856,0.077036,0.271547,0.990562,0.268984
EX-001-R001,0.566667,0.016458,0.174699,0.016405,0.082071,0.581355,0.081649,0.279558,0.989982,0.276757
EX-001-R001,0.583333,0.017905,0.184663,0.017845,0.086864,0.597845,0.086391,0.287549,0.989385,0.284497
EX-001-R001,0.600000,0.019435,0.194902,0.019366,0.091789,0.614325,0.091261,0.295520,0.988771,0.292202
EX-001-R001,0.616667,0.021049,0.205415,0.020971,0.096847,0.630794,0.096258,0.303471,0.988140,0.299872
EX-001-R001,0.633333,0.022750,0.216203,0.022660,0.102037,0.647252,0.101384,0.311401,0.987491,0.307506
EX-001-R001,0.650000,0.024539,0.227264,0.024437,0.107359,0.663699,0.106635,0.319309,0.986826,0.315102
EX-001-R001,0.666667,0.026419,0.238600,0.026304,0.112812,0.680135,0.112013,0.327195,0.986143,0.322661
EX-001-R001,0.683333,0.028393,0.250209,0.028263,0.118396,0.696559,0.117516,0.335058,0.985443,0.330181
EX-001-R001,0.700000,0.030461,0.262092,0.030315,0.124111,0.712971,0.123144,0.342898,0.984727,0.337661
EX-001-R001,0.716667,0.032627,0.274248,0.032464,0.129957,0.729371,0.128895,0.350714,0.983993,0.345100
EX-001-R001,0.733333,0.034893,0.286677,0.034710,0.135932,0.745758,0.134770,0.358506,0.983241,0.352498
EX-001-R001,0.750000,0.037260,0.299380,0.037056,0.142036,0.762133,0.140768,0.366273,0.982473,0.359853
EX-001-R001,0.766667,0.039731,0.312355,0.039504,0.148270,0.778494,0.146887,0.374014,0.981688,0.367165
EX-001-R001,0.783333,0.042308,0.325602,0.042056,0.154632,0.794842,0.153128,0.381729,0.980886,0.374433
EX-001-R001,0.800000,0.044994,0.339121,0.044714,0.161122,0.811177,0.159489,0.389418,0.980067,0.381656
EX-001-R001,0.816667,0.047789,0.352913,0.047480,0.167740,0.827497,0.165969,0.397080,0.979230,0.388833
EX-001-R001,0.833333,0.050697,0.366977,0.050357,0.174485,0.843804,0.172569,0.404715,0.978377,0.395963
EX-001-R001,0.850000,0.053720,0.381311,0.053345,0.181358,0.860095,0.179286,0.412321,0.977507,0.403046
EX-001-R001,0.866667,0.056859,0.395918,0.056447,0.188356,0.876372,0.186121,0.419898,0.976619,0.410081
EX-001-R001,0.883333,0.060117,0.410795,0.059665,0.195480,0.892634,0.193072,0.427447,0.975715,0.417066
EX-001-R001,0.900000,0.063496,0.425943,0.063000,0.202729,0.908881,0.200139,0.434966,0.974794,0.424002
EX-001-R001,0.916667,0.066998,0.441361,0.066456,0.210104,0.925112,0.207320,0.442454,0.973856,0.430887
EX-001-R001,0.933333,0.070625,0.457050,0.070032,0.217602,0.941327,0.214615,0.449912,0.972901,0.437720
EX-001-R001,0.950000,0.074378,0.473009,0.073733,0.225224,0.957526,0.222024,0.457338,0.971929,0.444501
EX-001-R001,0.966667,0.078261,0.489237,0.077559,0.232970,0.973708,0.229544,0.464733,0.970940,0.451228
EX-001-R001,0.983333,0.082275,0.505735,0.081512,0.240838,0.989873,0.237176,0.472096,0.969935,0.457902
EX-001-R001,1.000000,0.086422,0.522502,0.085594,0.248829,1.006022,0.244918,0.479426,0.968912,0.464521
EX-001-R001,1.016667,0.090705,0.539538,0.089806,0.256941,1.022153,0.252769,0.486722,0.967873,0.471085
EX-001-R001,1.033333,0.095124,0.556843,0.094152,0.265174,1.038267,0.260729,0.493985,0.966817,0.477593
EX-001-R001,1.050000,0.099683,0.574415,0.098632,0.273527,1.054363,0.268797,0.501213,0.965744,0.484044
EX-001-R001,1.066667,0.104383,0.592256,0.103248,0.282001,1.070440,0.276970,0.508407,0.964655,0.490437
EX-001-R001,1.083333,0.109226,0.610364,0.108002,0.290594,1.086499,0.285250,0.515565,0.963548,0.496772
EX-001-R001,1.100000,0.114215,0.628740,0.112896,0.299305,1.102540,0.293634,0.522687,0.962425,0.503047
EX-001-R001,1.116667,0.119350,0.647383,0.117931,0.308135,1.118561,0.302122,0.529773,0.961285,0.509263
EX-001-R001,1.133333,0.124635,0.666292,0.123110,0.317082,1.134563,0.310712,0.536823,0.960129,0.515419
EX-001-R001,1.150000,0.130071,0.685468,0.128433,0.326145,1.150546,0.319404,0.543835,0.958956,0.521514
EX-001-R001,1.166667,0.135659,0.704910,0.133903,0.335326,1.166509,0.328196,0.550809,0.957766,0.527546
EX-001-R001,1.183333,0.141403,0.724617,0.139521,0.344621,1.182451,0.337088,0.557745,0.956560,0.533516
EX-001-R001,1.200000,0.147304,0.744590,0.145289,0.354032,1.198374,0.346079,0.564642,0.955336,0.539424
EX-001-R001,1.216667,0.153363,0.764828,0.151209,0.363557,1.214275,0.355167,0.571501,0.954097,0.545267
EX-001-R001,1.233333,0.159583,0.785331,0.157281,0.373196,1.230156,0.364351,0.578319,0.952841,0.551046
EX-001-R001,1.250000,0.165965,0.806098,0.163508,0.382947,1.246015,0.373630,0.585097,0.951568,0.556760
EX-001-R001,1.266667,0.172512,0.827128,0.169892,0.392811,1.261853,0.383004,0.591835,0.950279,0.562408
EX-001-R001,1.283333,0.179225,0.848423,0.176433,0.402787,1.277670,0.392470,0.598531,0.948973,0.567990
EX-001-R001,1.300000,0.186107,0.869981,0.183134,0.412873,1.293464,0.402028,0.605186,0.947651,0.573505
EX-001-R001,1.316667,0.193158,0.891801,0.189995,0.423070,1.309236,0.411678,0.611799,0.946312,0.578953
EX-001-R001,1.333333,0.200381,0.913884,0.197018,0.433376,1.324985,0.421417,0.618370,0.944957,0.584333
EX-001-R001,1.350000,0.207777,0.936230,0.204206,0.443791,1.340711,0.431244,0.624897,0.943585,0.589644
EX-001-R001,1.366667,0.215349,0.958836,0.211558,0.454314,1.356415,0.441159,0.631381,0.942198,0.594886
EX-001-R001,1.383333,0.223098,0.981705,0.219078,0.464944,1.372094,0.451160,0.637822,0.940793,0.600058
EX-001-R001,1.400000,0.231026,1.004834,0.226765,0.475681,1.387751,0.461246,0.644218,0.939373,0.605161
EX-001-R001,1.416667,0.239135,1.028224,0.234622,0.486524,1.403383,0.471416,0.650569,0.937936,0.610192
EX-001-R001,1.433333,0.247426,1.051873,0.242650,0.497472,1.418991,0.481668,0.656875,0.936483,0.615152
EX-001-R001,1.450000,0.255902,1.075783,0.250850,0.508524,1.434575,0.492002,0.663135,0.935013,0.620040
EX-001-R001,1.466667,0.264563,1.099952,0.259224,0.519680,1.450133,0.502416,0.669350,0.933528,0.624857
EX-001-R001,1.483333,0.273412,1.124380,0.267772,0.530939,1.465667,0.512910,0.675518,0.932026,0.629600
EX-001-R001,1.500000,0.282450,1.149066,0.276497,0.542299,1.481176,0.523481,0.681639,0.930508,0.634270
EX-001-R001,1.516667,0.291680,1.174010,0.285399,0.553761,1.496658,0.534129,0.687712,0.928973,0.638867
EX-001-R001,1.533333,0.301102,1.199212,0.294480,0.565324,1.512116,0.544852,0.693738,0.927423,0.643389
EX-001-R001,1.550000,0.310718,1.224671,0.303741,0.576986,1.527546,0.555649,0.699716,0.925857,0.647837
EX-001-R001,1.566667,0.320530,1.250387,0.313183,0.588746,1.542951,0.566519,0.705645,0.924274,0.652210
EX-001-R001,1.583333,0.330541,1.276359,0.322807,0.600605,1.558329,0.577461,0.711525,0.922676,0.656507
EX-001-R001,1.600000,0.340750,1.302587,0.332615,0.612561,1.573680,0.588473,0.717356,0.921061,0.660729
EX-001-R001,1.616667,0.351160,1.329071,0.342607,0.624613,1.589004,0.599554,0.723137,0.919430,0.664874
EX-001-R001,1.633333,0.361773,1.355809,0.352786,0.636761,1.604300,0.610703,0.728868,0.917784,0.668943
EX-001-R001,1.650000,0.372589,1.382802,0.363151,0.649004,1.619569,0.621919,0.734548,0.916121,0.672935
EX-001-R001,1.666667,0.383612,1.410049,0.373704,0.661340,1.634810,0.633200,0.740177,0.914443,0.676850
EX-001-R001,1.683333,0.394841,1.437549,0.384447,0.673769,1.650022,0.644545,0.745755,0.912749,0.680687
EX-001-R001,1.700000,0.406279,1.465302,0.395379,0.686290,1.665206,0.655952,0.751280,0.911039,0.684446
EX-001-R001,1.716667,0.417928,1.493308,0.406503,0.698903,1.680361,0.667421,0.756754,0.909313,0.688126
EX-001-R001,1.733333,0.429788,1.521567,0.417819,0.711606,1.695487,0.678950,0.762175,0.907571,0.691728
EX-001-R001,1.750000,0.441861,1.550076,0.429328,0.724398,1.710584,0.690537,0.767544,0.905814,0.695251
EX-001-R001,1.766667,0.454149,1.578837,0.441031,0.737279,1.725652,0.702182,0.772858,0.904041,0.698695
EX-001-R001,1.783333,0.466653,1.607849,0.452929,0.750248,1.740689,0.713883,0.778120,0.902252,0.702060
EX-001-R001,1.800000,0.479375,1.637110,0.465023,0.763303,1.755697,0.725639,0.783327,0.900447,0.705344
EX-001-R001,1.816667,0.492316,1.666622,0.477314,0.776445,1.770674,0.737448,0.788480,0.898627,0.708549
EX-001-R001,1.833333,0.505477,1.696382,0.489802,0.789671,1.785620,0.749309,0.793578,0.896791,0.711674
EX-001-R001,1.850000,0.518860,1.726391,0.502489,0.802981,1.800536,0.761221,0.798621,0.894940,0.714718
EX-001-R001,1.866667,0.532466,1.756648,0.515376,0.816375,1.815421,0.773182,0.803608,0.893073,0.717681
EX-001-R001,1.883333,0.546297,1.787152,0.528462,0.829851,1.830274,0.785192,0.808540,0.891191,0.720563
EX-001-R001,1.900000,0.560354,1.817904,0.541750,0.843407,1.845095,0.797248,0.813416,0.889293,0.723364
EX-001-R001,1.916667,0.574638,1.848902,0.555239,0.857045,1.859885,0.809349,0.818235,0.887379,0.726085
EX-001-R001,1.933333,0.589151,1.880146,0.568930,0.870761,1.874642,0.821495,0.822997,0.885451,0.728723
EX-001-R001,1.950000,0.603893,1.911636,0.582825,0.884556,1.889368,0.833683,0.827702,0.883507,0.731280
EX-001-R001,1.966667,0.618867,1.943370,0.596924,0.898429,1.904060,0.845912,0.832349,0.881547,0.733755
EX-001-R001,1.983333,0.634073,1.975349,0.611227,0.912378,1.918720,0.858181,0.836939,0.879573,0.736149
EX-001-R001,2.000000,0.649513,2.007571,0.625735,0.926402,1.933346,0.870489,0.841471,0.877583,0.738460
EX-001-R001,2.016667,0.665188,2.040037,0.640449,0.940501,1.947939,0.882834,0.845944,0.875577,0.740690
EX-001-R001,2.033333,0.681100,2.072745,0.655369,0.954674,1.962498,0.895214,0.850359,0.873557,0.742837
